COD_PRODUCTO,COD_CATEGORIA,COD_CLIENTE,COD_PAIS,COD_VENDEDOR,COD_SUCURSAL,Fecha,Cantidad_Vendida,Monto_Vendido,Precio,Comision_Comercial
P00017,C00003,CLI00742,HON,V00034,SUC00062,19/7/2020,44,970.000,"22045,45455",184.300
P00017,C00003,CLI00742,MEX,V00047,SUC00056,13/10/2019,37,380.000,"10270,27027",38.000
P00017,C00003,CLI00742,PAR,V00043,SUC00009,12/12/2016,32,340.000,10625,68.000
P00017,C00003,CLI00008,ECU,V00064,SUC00060,27/9/2019,5,60.000,12000,"0,48"
P00017,C00003,CLI00008,PER,V00040,SUC00061,22/1/2019,5,60.000,12000,10.200
P00017,C00003,CLI00429,ARG,V00017,SUC00045,2/4/2018,4,50.000,12500,"0,9"
P00017,C00003,CLI00429,ARG,V00017,SUC00045,2/4/2021,4,50.000,12500,"0,9"
P00017,C00003,CLI00429,GUA,V00016,SUC00007,2/11/2016,16,200.000,12500,32.000
P00017,C00003,CLI00299,PER,V00013,SUC00036,14/8/2019,5,60.000,12000,"0,72"
P00017,C00003,CLI00265,URU,V00010,SUC00034,25/1/2019,30,320.000,"10666,66667",38.400
P00017,C00003,CLI00098,ARG,V00058,SUC00024,21/11/2018,6,70.000,"11666,66667","0,49"
P00017,C00003,CLI00098,ARG,V00058,SUC00024,21/11/2020,6,70.000,"11666,66667","0,49"
P00017,C00003,CLI00098,COL,V00018,SUC00038,5/11/2017,31,330.000,"10645,16129",16.500
P00017,C00003,CLI00098,PAR,V00002,SUC00047,1/6/2019,43,480.000,"11162,7907",43.200
P00017,C00003,CLI00098,URU,V00049,SUC00063,3/9/2018,29,300.000,"10344,82759",51.000
P00017,C00003,CLI00098,URU,V00049,SUC00063,3/9/2021,29,300.000,"10344,82759",51.000
P00017,C00003,CLI00047,ECU,V00050,SUC00023,8/10/2019,5,60.000,12000,"0,66"
P00017,C00003,CLI00047,URU,V00010,SUC00034,11/4/2016,47,550.000,"11702,12766",60.500
P00017,C00003,CLI00047,URU,V00010,SUC00034,11/4/2020,47,550.000,"11702,12766",60.500
P00017,C00003,CLI00507,ARG,V00032,SUC00057,5/7/2016,8,90.000,11250,"0,45"
P00017,C00003,CLI00507,ESP,V00061,SUC00014,27/5/2016,33,440.000,"13333,33333",22.000
P00017,C00003,CLI00507,ESP,V00061,SUC00014,27/5/2020,33,440.000,"13333,33333",22.000
P00017,C00003,CLI00507,GUA,V00016,SUC00007,21/5/2019,21,220.000,"10476,19048",15.400
P00017,C00003,CLI00507,PER,V00009,SUC00055,10/6/2019,1,20.000,20000,"0,2"
P00017,C00003,CLI00585,GUA,V00015,SUC00004,23/10/2016,5,60.000,12000,"0,84"
P00017,C00003,CLI00585,GUA,V00015,SUC00004,23/10/2020,5,60.000,12000,"0,84"
P00017,C00003,CLI00585,PER,V00013,SUC00036,20/5/2017,36,380.000,"10555,55556",76.000
P00017,C00003,CLI00211,CRI,V00055,SUC00052,18/5/2016,15,160.000,"10666,66667",24.000
P00017,C00003,CLI00211,CRI,V00055,SUC00052,18/5/2020,15,160.000,"10666,66667",24.000
P00017,C00003,CLI00663,ARG,V00032,SUC00057,20/5/2018,32,330.000,"10312,5",59.400
P00017,C00003,CLI00663,ARG,V00032,SUC00057,20/5/2021,32,330.000,"10312,5",59.400
P00017,C00003,CLI00362,GUA,V00056,SUC00017,9/8/2019,11,120.000,"10909,09091",12.000
P00017,C00003,CLI00276,DOM,V00004,SUC00041,7/1/2019,39,400.000,"10256,41026",48.000
P00017,C00003,CLI00337,ARG,V00053,SUC00006,16/11/2017,6,70.000,"11666,66667","0,77"
P00017,C00003,CLI00337,CRI,V00003,SUC00026,1/8/2016,30,310.000,"10333,33333",27.900
P00017,C00003,CLI00337,CRI,V00003,SUC00026,1/8/2020,30,310.000,"10333,33333",27.900
P00017,C00003,CLI00427,ESP,V00045,SUC00008,7/2/2018,42,480.000,"11428,57143",91.200
P00017,C00003,CLI00427,ESP,V00045,SUC00008,7/2/2021,42,480.000,"11428,57143",91.200
P00017,C00003,CLI00092,MEX,V00014,SUC00048,20/7/2016,6,830.000,"138333,3333",49.800
P00017,C00003,CLI00656,CHI,V00030,SUC00051,17/7/2016,42,430.000,"10238,09524",68.800
P00017,C00003,CLI00306,ARG,V00017,SUC00045,21/10/2016,50,580.000,11600,29.000
P00017,C00003,CLI00306,ARG,V00017,SUC00045,21/10/2020,50,580.000,11600,29.000
P00017,C00003,CLI00306,CRI,V00060,SUC00022,5/2/2018,14,180.000,"12857,14286",12.600
P00017,C00003,CLI00306,CRI,V00060,SUC00022,5/2/2021,14,180.000,"12857,14286",12.600
P00017,C00003,CLI00195,PER,V00037,SUC00010,14/11/2016,8,120.000,15000,19.200
P00017,C00003,CLI00212,HON,V00024,SUC00021,17/4/2019,37,440.000,"11891,89189",39.600
P00017,C00003,CLI00212,MEX,V00048,SUC00053,20/3/2019,33,340.000,"10303,0303",54.400
P00017,C00003,CLI00226,CHI,V00052,SUC00003,20/7/2016,30,320.000,"10666,66667",28.800
P00017,C00003,CLI00145,GUA,V00056,SUC00017,24/7/2017,21,220.000,"10476,19048",37.400
P00017,C00003,CLI00145,GUA,V00056,SUC00017,24/7/2020,21,220.000,"10476,19048",37.400
P00017,C00003,CLI00695,ARG,V00058,SUC00024,14/5/2018,6,70.000,"11666,66667",11.900
P00017,C00003,CLI00695,ARG,V00058,SUC00024,14/5/2021,6,70.000,"11666,66667",11.900
P00017,C00003,CLI00014,DOM,V00028,SUC00044,17/6/2018,12,130.000,"10833,33333","0,78"
P00017,C00003,CLI00014,DOM,V00028,SUC00044,17/6/2021,12,130.000,"10833,33333","0,78"
P00017,C00003,CLI00280,COL,V00051,SUC00001,9/3/2018,33,380.000,"11515,15152",30.400
P00017,C00003,CLI00280,COL,V00051,SUC00001,9/3/2021,33,380.000,"11515,15152",30.400
P00017,C00003,CLI00184,ARG,V00053,SUC00006,1/10/2016,35,580.000,"16571,42857",34.800
P00017,C00003,CLI00184,ARG,V00053,SUC00006,1/10/2020,35,580.000,"16571,42857",34.800
P00017,C00003,CLI00494,ESP,V00045,SUC00008,13/3/2016,3,40.000,"13333,33333","0,28"
P00017,C00003,CLI00494,ESP,V00045,SUC00008,12/1/2020,3,40.000,"13333,33333","0,28"
P00017,C00003,CLI00494,ESP,V00045,SUC00008,13/3/2020,3,40.000,"13333,33333","0,28"
P00017,C00003,CLI00300,PAR,V00002,SUC00047,10/4/2018,16,170.000,10625,23.800
P00017,C00003,CLI00300,PAR,V00002,SUC00047,10/4/2021,16,170.000,10625,23.800
P00017,C00003,CLI00369,CRI,V00001,SUC00031,4/2/2018,49,500.000,"10204,08163",45.000
P00017,C00003,CLI00369,CRI,V00001,SUC00031,4/2/2021,49,500.000,"10204,08163",45.000
P00017,C00003,CLI00369,MEX,V00047,SUC00056,5/9/2019,13,140.000,"10769,23077",18.200
P00017,C00003,CLI00369,PAR,V00002,SUC00047,15/2/2016,23,240.000,"10434,78261",28.800
P00017,C00003,CLI00369,PAR,V00002,SUC00047,16/12/2019,23,240.000,"10434,78261",28.800
P00017,C00003,CLI00369,PAR,V00002,SUC00047,15/2/2020,23,240.000,"10434,78261",28.800
P00017,C00003,CLI00369,PAR,V00043,SUC00009,8/2/2018,13,140.000,"10769,23077",15.400
P00017,C00003,CLI00369,PAR,V00043,SUC00009,8/2/2021,13,140.000,"10769,23077",15.400
P00017,C00003,CLI00312,ARG,V00032,SUC00057,28/6/2017,32,330.000,"10312,5",59.400
P00017,C00003,CLI00312,ARG,V00032,SUC00057,28/6/2020,32,330.000,"10312,5",59.400
P00017,C00003,CLI00736,CHI,V00052,SUC00003,28/2/2018,9,100.000,"11111,11111",19.000
P00017,C00003,CLI00736,CHI,V00052,SUC00003,28/2/2021,9,100.000,"11111,11111",19.000
P00017,C00003,CLI00736,CRI,V00022,SUC00037,11/1/2017,27,300.000,"11111,11111",21.000
P00017,C00003,CLI00736,ESP,V00061,SUC00014,24/7/2016,43,440.000,"10232,55814",83.600
P00017,C00003,CLI00736,PAR,V00043,SUC00009,7/12/2018,1,20.000,20000,"0,14"
P00017,C00003,CLI00762,DOM,V00028,SUC00044,7/2/2018,37,380.000,"10270,27027",38.000
P00017,C00003,CLI00762,DOM,V00028,SUC00044,7/2/2021,37,380.000,"10270,27027",38.000
P00017,C00003,CLI00129,COL,V00039,SUC00012,17/9/2017,19,200.000,"10526,31579",38.000
P00017,C00003,CLI00129,DOM,V00035,SUC00016,21/11/2018,33,340.000,"10303,0303",20.400
P00017,C00003,CLI00129,DOM,V00035,SUC00016,21/11/2020,33,340.000,"10303,0303",20.400
P00017,C00003,CLI00170,URU,V00065,SUC00039,29/10/2016,31,320.000,"10322,58065",41.600
P00017,C00003,CLI00170,URU,V00065,SUC00039,29/10/2020,31,320.000,"10322,58065",41.600
P00017,C00003,CLI00685,MEX,V00021,SUC00064,13/2/2018,30,310.000,"10333,33333",34.100
P00017,C00003,CLI00685,MEX,V00021,SUC00064,13/2/2021,30,310.000,"10333,33333",34.100
P00017,C00003,CLI00701,DOM,V00059,SUC00011,16/1/2017,6,70.000,"11666,66667",11.200
P00017,C00003,CLI00387,ESP,V00045,SUC00008,30/1/2019,43,600.000,"13953,48837",36.000
P00017,C00003,CLI00387,PER,V00037,SUC00010,30/1/2019,17,180.000,"10588,23529",10.800
P00017,C00003,CLI00594,URU,V00041,SUC00058,14/7/2017,17,230.000,"13529,41176",46.000
P00017,C00003,CLI00594,URU,V00041,SUC00058,14/7/2020,17,230.000,"13529,41176",46.000
P00017,C00003,CLI00089,PAR,V00043,SUC00009,7/1/2016,46,530.000,"11521,73913",106.000
P00017,C00003,CLI00089,PAR,V00043,SUC00009,7/11/2019,46,530.000,"11521,73913",106.000
P00017,C00003,CLI00436,ECU,V00029,SUC00025,16/4/2016,37,380.000,"10270,27027",26.600
P00017,C00003,CLI00436,ECU,V00029,SUC00025,16/4/2020,37,380.000,"10270,27027",26.600
P00017,C00003,CLI00706,ARG,V00017,SUC00045,9/4/2019,27,280.000,"10370,37037",50.400
P00017,C00003,CLI00706,CHI,V00062,SUC00020,11/5/2019,12,130.000,"10833,33333",26.000
P00017,C00003,CLI00683,CHI,V00030,SUC00051,22/4/2016,45,470.000,"10444,44444",23.500
P00017,C00003,CLI00683,CHI,V00030,SUC00051,22/4/2020,45,470.000,"10444,44444",23.500
P00017,C00003,CLI00683,URU,V00049,SUC00063,3/5/2019,20,210.000,10500,29.400
P00017,C00003,CLI00654,PAR,V00033,SUC00018,5/8/2017,26,270.000,"10384,61538",18.900
P00017,C00003,CLI00709,PAR,V00043,SUC00009,4/9/2016,37,1.810.000,"48918,91892",217.200
P00017,C00003,CLI00709,PAR,V00043,SUC00009,4/9/2020,37,1.810.000,"48918,91892",217.200
P00017,C00003,CLI00709,DOM,V00004,SUC00041,21/5/2017,46,490.000,"10652,17391",88.200
P00017,C00003,CLI00768,GUA,V00011,SUC00028,17/9/2017,35,370.000,"10571,42857",48.100
P00017,C00003,CLI00768,MEX,V00014,SUC00048,10/1/2018,36,370.000,"10277,77778",70.300
P00017,C00003,CLI00768,MEX,V00014,SUC00048,10/1/2021,36,370.000,"10277,77778",70.300
P00017,C00003,CLI00768,DOM,V00004,SUC00041,15/8/2019,38,400.000,"10526,31579",20.000
P00017,C00003,CLI00492,GUA,V00056,SUC00017,21/11/2017,13,140.000,"10769,23077",22.400
P00017,C00003,CLI00492,DOM,V00035,SUC00016,6/9/2016,10,110.000,11000,19.800
P00017,C00003,CLI00492,DOM,V00035,SUC00016,6/9/2020,10,110.000,11000,19.800
P00017,C00003,CLI00492,URU,V00065,SUC00039,21/11/2017,27,280.000,"10370,37037",33.600
P00017,C00003,CLI00207,CRI,V00060,SUC00022,3/9/2019,6,70.000,"11666,66667","0,77"
P00017,C00003,CLI00207,ESP,V00045,SUC00008,15/6/2018,21,220.000,"10476,19048",33.000
P00017,C00003,CLI00207,ESP,V00045,SUC00008,15/6/2021,21,220.000,"10476,19048",33.000
P00017,C00003,CLI00782,ARG,V00032,SUC00057,25/4/2017,34,360.000,"10588,23529",54.000
P00017,C00003,CLI00782,MEX,V00047,SUC00056,18/8/2019,34,410.000,"12058,82353",61.500
P00017,C00003,CLI00782,DOM,V00035,SUC00016,8/9/2016,38,400.000,"10526,31579",52.000
P00017,C00003,CLI00782,DOM,V00035,SUC00016,8/9/2020,38,400.000,"10526,31579",52.000
P00017,C00003,CLI00480,HON,V00034,SUC00062,5/5/2018,6,80.000,"13333,33333","0,72"
P00017,C00003,CLI00480,HON,V00034,SUC00062,5/5/2021,6,80.000,"13333,33333","0,72"
P00017,C00003,CLI00002,MEX,V00014,SUC00048,21/8/2018,23,240.000,"10434,78261",48.000
P00017,C00003,CLI00002,MEX,V00014,SUC00048,21/8/2021,23,240.000,"10434,78261",48.000
P00017,C00003,CLI00002,MEX,V00021,SUC00064,21/8/2018,2,30.000,15000,"0,51"
P00017,C00003,CLI00002,MEX,V00021,SUC00064,21/8/2021,2,30.000,15000,"0,51"
P00017,C00003,CLI00435,ARG,V00053,SUC00006,8/8/2018,22,480.000,"21818,18182",48.000
P00017,C00003,CLI00435,ARG,V00053,SUC00006,8/8/2021,22,480.000,"21818,18182",48.000
P00017,C00003,CLI00435,CRI,V00003,SUC00026,28/1/2016,34,350.000,"10294,11765",66.500
P00017,C00003,CLI00435,CRI,V00003,SUC00026,28/11/2019,34,350.000,"10294,11765",66.500
P00017,C00003,CLI00435,ECU,V00007,SUC00002,7/7/2018,21,250.000,"11904,7619",42.500
P00017,C00003,CLI00435,ECU,V00007,SUC00002,7/7/2021,21,250.000,"11904,7619",42.500
P00017,C00003,CLI00435,MEX,V00047,SUC00056,8/8/2018,30,340.000,"11333,33333",30.600
P00017,C00003,CLI00435,MEX,V00047,SUC00056,8/8/2021,30,340.000,"11333,33333",30.600
P00017,C00003,CLI00293,CHI,V00030,SUC00051,4/8/2019,15,160.000,"10666,66667",11.200
P00017,C00003,CLI00293,MEX,V00021,SUC00064,2/2/2017,21,300.000,"14285,71429",51.000
P00017,C00003,CLI00567,ARG,V00017,SUC00045,27/10/2019,26,310.000,"11923,07692",55.800
P00017,C00003,CLI00268,CRI,V00003,SUC00026,28/2/2019,8,100.000,12500,11.000
P00017,C00003,CLI00268,ECU,V00050,SUC00023,16/8/2017,39,400.000,"10256,41026",76.000
P00017,C00003,CLI00268,GUA,V00015,SUC00004,28/2/2019,25,260.000,10400,46.800
P00017,C00003,CLI00268,HON,V00057,SUC00015,13/6/2019,40,460.000,11500,50.600
P00017,C00003,CLI00467,ARG,V00053,SUC00006,5/4/2019,24,310.000,"12916,66667",46.500
P00017,C00003,CLI00467,MEX,V00019,SUC00005,11/3/2016,36,390.000,"10833,33333",58.500
P00017,C00003,CLI00467,MEX,V00019,SUC00005,10/1/2020,36,390.000,"10833,33333",58.500
P00017,C00003,CLI00467,MEX,V00019,SUC00005,11/3/2020,36,390.000,"10833,33333",58.500
P00017,C00003,CLI00481,CRI,V00001,SUC00031,18/7/2017,14,180.000,"12857,14286",30.600
P00017,C00003,CLI00481,CRI,V00001,SUC00031,18/7/2020,14,180.000,"12857,14286",30.600
P00017,C00003,CLI00481,GUA,V00016,SUC00007,5/9/2019,4,50.000,12500,"0,65"
P00017,C00003,CLI00107,COL,V00046,SUC00019,15/10/2016,34,350.000,"10294,11765",59.500
